vps,domain,datum,id_status
vps1021,test.regts.com,2016-10-01,1
vps1021,test.spoor-c.nl,2016-10-01,1
vps1021,test.volleybalclubsassenheim.nl,2016-10-01,1
vps1021,testomgeving.ventec.nl,2016-10-01,1
vps1021,teteringsetennisvereniging.nl,2016-10-01,1
vps1021,theoriginaldooky.com,2016-10-01,1
vps1021,thevoiceofholland.tv,2016-10-01,1
vps1021,thor.nl,2016-10-01,1
vps1021,tog.vision4all.nl,2016-10-01,1
vps1021,toys4sale.nl,2016-10-01,1
vps1021,trompenburg.com,2016-10-01,1
vps1021,unlimiteddesignholland.nl,2016-10-01,1
vps1021,vanbeetem.nl,2016-10-01,1
vps1021,vanheun.com,2016-10-01,1
vps1021,ventec.nl,2016-10-01,1
vps1021,verwielen.com,2016-10-01,1
vps1021,vision4all.nl,2016-10-01,1
vps1021,volleybalclubsassenheim.nl,2016-10-01,1
vps1021,werumeusbuning.nl,2016-10-01,1
vps1021,wonenindelot.nl,2016-10-01,1
vps1021,wordpress.dekleinepol.nl,2016-10-01,1
vps1021,wouter-smit.nl,2016-10-01,1
vps1021,zeebries.com,2016-10-01,1
vps1021,zettastor.eu,2016-10-01,1
vps1022,15to25.nvcc.nl,2016-10-01,1
vps1022,4rios.com,2016-10-01,1
vps1022,4ward2.nl,2016-10-01,1
vps1022,afipro.nl,2016-10-01,1
vps1022,airvideo.nl,2016-10-01,1
vps1022,akerhil.nl,2016-10-01,1
vps1022,all-inservice.nl,2016-10-01,1
vps1022,annsart.eu,2016-10-01,1
vps1022,apps.tvodw.com,2016-10-01,1
vps1022,arte-enzo.com,2016-10-01,1
vps1022,bargemanvorden.nl,2016-10-01,1
vps1022,basement-pd.com,2016-10-01,1
vps1022,basement-pd.nl,2016-10-01,1
vps1022,bdjfotografie.nl,2016-10-01,1
vps1022,beautifultouch.nl,2016-10-01,1
vps1022,beddenenmatrassen.nl,2016-10-01,1
vps1022,bedrijvigevrouwen.nl,2016-10-01,1
vps1022,beeldplan.nl,2016-10-01,1
vps1022,bestewijnen.nl,2016-10-01,1
vps1022,bikerescue.nl,2016-10-01,1
vps1022,blijvee.piphits.nl,2016-10-01,1
vps1022,bloemen.cahuita.biz,2016-10-01,1
vps1022,borking.nl,2016-10-01,1
vps1022,burolandsteiner.nl,2016-10-01,1
vps1022,bvkdprinsenstad.com,2016-10-01,1
vps1022,cahuita.biz,2016-10-01,1
vps1022,caprinos.marimex.nl,2016-10-01,1
vps1022,chateaudecamurac.com,2016-10-01,1
vps1022,competenceconnect.nl,2016-10-01,1
vps1022,constancehappee.nl,2016-10-01,1
vps1022,cpcoachpraktijk.nl,2016-10-01,1
vps1022,dartor.nl,2016-10-01,1
vps1022,dasz.nl,2016-10-01,1
vps1022,dekledij.nl,2016-10-01,1
vps1022,deserrerijsenhout.nl,2016-10-01,1
vps1022,dev.piphits.nl,2016-10-01,1
vps1022,dezandingvorden.nl,2016-10-01,1
vps1022,dinfyvandenbroek.nl,2016-10-01,1
vps1022,djventilator.nl,2016-10-01,1
vps1022,dorpsorgaan-spaarndam.nl,2016-10-01,1
vps1022,dvvdruten.nl,2016-10-01,1
vps1022,erikpeekfotografie.nl,2016-10-01,1
vps1022,erp.hwjachttechniek.nl,2016-10-01,1
vps1022,esvelt.nl,2016-10-01,1
vps1022,everzijl.nl,2016-10-01,1
vps1022,ezyweb.nl,2016-10-01,1
vps1022,framarro.nl,2016-10-01,1
vps1022,gekopkarper.nl,2016-10-01,1
vps1022,grondel.info,2016-10-01,1
vps1022,gvegt.nl,2016-10-01,1
vps1022,HALopen2015.dartor.nl,2016-10-01,1
vps1022,halopen2016.dartor.nl,2016-10-01,1
vps1022,harker.nl,2016-10-01,1
vps1022,hella.borking.nl,2016-10-01,1
vps1022,hetoudehuys.eu,2016-10-01,1
vps1022,horseinspiration.nl,2016-10-01,1
vps1022,hwjachttechniek.nl,2016-10-01,1
vps1022,ikbennederland.nl,2016-10-01,1
vps1022,illustratoren.beeldplan.nl,2016-10-01,1
vps1022,iosafe.info,2016-10-01,1
vps1022,jan-roelevink.nl,2016-10-01,1
vps1022,jeffreyschout.nl,2016-10-01,1
vps1022,jensmedia.nl,2016-10-01,1
vps1022,jobbies.piphits.nl,2016-10-01,1
vps1022,jurgenhuwae.nl,2016-10-01,1
vps1022,justmoments.nl,2016-10-01,1
vps1022,juweelvanhaarlem.nl,2016-10-01,1
vps1022,klio.esvelt.nl,2016-10-01,1
vps1022,korenvisie.nl,2016-10-01,1
vps1022,lbc.dartor.nl,2016-10-01,1
vps1022,leorijnders.nl,2016-10-01,1
vps1022,ligtermoetsde.net,2016-10-01,1
vps1022,lindibeunk.nl,2016-10-01,1
vps1022,loekan.nl,2016-10-01,1
vps1022,machinehuis.nl,2016-10-01,1
vps1022,marijnhermanus.nl,2016-10-01,1
vps1022,marimex.nl,2016-10-01,1
vps1022,merkenshoveniers.nl,2016-10-01,1
vps1022,miniatuurreclame.nl,2016-10-01,1
vps1022,motorcareparkstad.nl,2016-10-01,1
vps1022,n2m-installatie.nl,2016-10-01,1
vps1022,neurofeedback-training.nl,2016-10-01,1
vps1022,nieuw.timberproducts.nl,2016-10-01,1
vps1022,nvcc.nl,2016-10-01,1
vps1022,olis.esvelt.nl,2016-10-01,1
vps1022,oncourse4success.nl,2016-10-01,1
vps1022,osingadesign.com,2016-10-01,1
vps1022,paulliekwie.nl,2016-10-01,1
vps1022,piphits.nl,2016-10-01,1
vps1022,praktijkvoorrt-helmond.nl,2016-10-01,1
vps1022,raam.nu,2016-10-01,1
vps1022,regioruimers.nl,2016-10-01,1
vps1022,richardraats.nl,2016-10-01,1
vps1022,richdiam.com,2016-10-01,1
vps1022,riesjart.info,2016-10-01,1
vps1022,sandravandenoutenaar.nl,2016-10-01,1
vps1022,sanja-kregar.nl,2016-10-01,1
vps1022,schmerz.djventilator.nl,2016-10-01,1
vps1022,schutelektra.nl,2016-10-01,1
vps1022,schutmultiservice.schutelektra.nl,2016-10-01,1
vps1022,sepa-secretarieel.nl,2016-10-01,1
vps1022,sfakia-kreta.de,2016-10-01,1
vps1022,shop.motorcareparkstad.nl,2016-10-01,1
vps1022,sironval.be,2016-10-01,1
vps1022,soundormusic.nl,2016-10-01,1
vps1022,stage.piphits.nl,2016-10-01,1
vps1022,stavris.com,2016-10-01,1
vps1022,stealth.piphits.nl,2016-10-01,1
vps1022,stokerim.nl,2016-10-01,1
vps1022,studiodegraaf.nl,2016-10-01,1
vps1022,sytahammink.nl,2016-10-01,1
vps1022,test.nvcc.nl,2016-10-01,1
vps1022,timberproducts.nl,2016-10-01,1
vps1022,tvodw.com,2016-10-01,1
vps1022,ucb-group.nl,2016-10-01,1
vps1022,uniqom.nl,2016-10-01,1
vps1022,vanboxelschoenen.nl,2016-10-01,1
vps1022,verdegaal.net,2016-10-01,1
vps1022,vitaebella.nl,2016-10-01,1
vps1022,volvertrouwen.nl,2016-10-01,1
vps1022,w24fs.nl,2016-10-01,1
vps1022,weilandinbeeld.nl,2016-10-01,1
vps1022,wrapdesign.nl,2016-10-01,1
vps1022,zarabozoblokland.nl,2016-10-01,1
vps1022,zomer-cornelissen.nl,2016-10-01,1
vps1022,zorgboerderijlaan.nl,2016-10-01,1
vps1710,2012.sokkelopmaat.nl,2016-10-01,1
vps1710,3a.nl,2016-10-01,1
vps1710,aannemersbedrijf-dewilde.nl,2016-10-01,1
vps1710,ah-electronics.com,2016-10-01,1
vps1710,albiwa.nl,2016-10-01,1
vps1710,alco.tv,2016-10-01,1
vps1710,alcotrust.nl,2016-10-01,1
vps1710,arch-lokaal.nl,2016-10-01,1
vps1710,arnad.nl,2016-10-01,1
vps1710,arnheimfashion.com,2016-10-01,1
vps1710,atop-jachtbouw.nl,2016-10-01,1
vps1710,autismeweek.nl,2016-10-01,1
vps1710,beeldbank.imagez.nl,2016-10-01,1
vps1710,benvanduin.com,2016-10-01,1
vps1710,berg.demoet.com,2016-10-01,1
vps1710,beverwijk.demoet.com,2016-10-01,1
vps1710,bezinningstoerismefriesland.nl,2016-10-01,1
vps1710,bloemheuvel.net,2016-10-01,1
vps1710,board.gurdjieff.nl,2016-10-01,1
vps1710,boscheindflyers.nl,2016-10-01,1
vps1710,broexvastgoed.nl,2016-10-01,1
vps1710,burohba.nl,2016-10-01,1
vps1710,centrumhetverlangen.nl,2016-10-01,1
vps1710,chrisderksen.nl,2016-10-01,1
vps1710,computercreations.nl,2016-10-01,1
vps1710,de-parketlegger.com,2016-10-01,1
vps1710,deanjer.nl,2016-10-01,1
vps1710,deeyazz.nl,2016-10-01,1
vps1710,demoet.com,2016-10-01,1
vps1710,drukdrukdruk.net,2016-10-01,1
vps1710,dutchprowrestling.com,2016-10-01,1
vps1710,dwsvelddriel.nl,2016-10-01,1
vps1710,eenbaaneenbaas.nl,2016-10-01,1
vps1710,eetbareterreinen.albiwa.nl,2016-10-01,1
vps1710,effectreclame.nl,2016-10-01,1
vps1710,effting-knoppert.nl,2016-10-01,1
vps1710,effting.com,2016-10-01,1
vps1710,embrechtskunststofkozijnen.nl,2016-10-01,1
vps1710,equipe.nl,2016-10-01,1
vps1710,er-gee.nl,2016-10-01,1
vps1710,erikvos.nl,2016-10-01,1
vps1710,ernestinestoop.nl,2016-10-01,1
vps1710,ewaconsultancy.nl,2016-10-01,1
vps1710,ewafashion.nl,2016-10-01,1
vps1710,familiebuch.nl,2016-10-01,1
vps1710,fibrofitstrong.nl,2016-10-01,1
vps1710,finandi.nl,2016-10-01,1
vps1710,forum.leafman.nl,2016-10-01,1
vps1710,foto.benvanduin.com,2016-10-01,1
vps1710,foto.intermed.nu,2016-10-01,1
vps1710,franciendesign.nl,2016-10-01,1
vps1710,fransmensonides.nl,2016-10-01,1
vps1710,gurdjieff.nl,2016-10-01,1
vps1710,hastensandbreakfast.nl,2016-10-01,1
vps1710,hdv.intermed.nu,2016-10-01,1
vps1710,huisvanpilates.nl,2016-10-01,1
vps1710,imagez.nl,2016-10-01,1
vps1710,imunofit.nl,2016-10-01,1
vps1710,intermed.nu,2016-10-01,1
vps1710,jazzpodiumwaterweg.nl,2016-10-01,1
vps1710,jeffreypatty.com,2016-10-01,1
vps1710,jet.effting.com,2016-10-01,1
vps1710,jmaanders.nl,2016-10-01,1
vps1710,johanstraver.nl,2016-10-01,1
vps1710,kleurrijkedrukker.nl,2016-10-01,1
vps1710,klusschoorsteenveegbedrijfjd.nl,2016-10-01,1
vps1710,kraaienvangers.nl,2016-10-01,1
vps1710,kukkeljanus.nl,2016-10-01,1
vps1710,landjonker.nl,2016-10-01,1
vps1710,leafman.nl,2016-10-01,1
vps1710,leerhulpvanbeckhoven.nl,2016-10-01,1
vps1710,leidingontvangen.nl,2016-10-01,1
vps1710,lydiaschouten.com,2016-10-01,1
vps1710,magnesiumplex.nl,2016-10-01,1
vps1710,mandypieper.nl,2016-10-01,1
vps1710,martini.intermed.nu,2016-10-01,1
vps1710,masterdesk.nl,2016-10-01,1
vps1710,mfmc.nl,2016-10-01,1
vps1710,movingstars.nl,2016-10-01,1
vps1710,museumvrienden.intermed.nu,2016-10-01,1
vps1710,nahani.nl,2016-10-01,1
vps1710,narrowcasting.computercreations.nl,2016-10-01,1
vps1710,newangles.nl,2016-10-01,1
vps1710,nuvoorlater.com,2016-10-01,1
vps1710,ny.lydiaschouten.com,2016-10-01,1
vps1710,ocl.nl,2016-10-01,1
vps1710,old.vuurol.nl,2016-10-01,1
vps1710,ontwerpwedstrijden.nl,2016-10-01,1
vps1710,otchuizen.nl,2016-10-01,1
vps1710,pannenkoekenhuisoudemaas.nl,2016-10-01,1
vps1710,pauleffting.nl,2016-10-01,1
vps1710,personeel.intermed.nu,2016-10-01,1
vps1710,piet.demoet.com,2016-10-01,1
vps1710,plankhond.nl,2016-10-01,1
vps1710,project.lydiaschouten.com,2016-10-01,1
vps1710,reizenardennen.nl,2016-10-01,1
vps1710,relatiesieraden.nl,2016-10-01,1
vps1710,reserveren.vuurol.nl,2016-10-01,1
vps1710,rjonkman.nl,2016-10-01,1
vps1710,rugzaktochten.nl,2016-10-01,1
vps1710,scheffer-administraties.nl,2016-10-01,1
vps1710,scratchmyback.nl,2016-10-01,1
vps1710,sevenweb.nl,2016-10-01,1
vps1710,silvestersieraden.nl,2016-10-01,1
vps1710,sokkelopmaat.nl,2016-10-01,1
vps1710,srhdesign.nl,2016-10-01,1
vps1710,stadsmeester.nl,2016-10-01,1
vps1710,stichting-hvr.nl,2016-10-01,1
vps1710,stichtingwig.com,2016-10-01,1
vps1710,symbionforte.nl,2016-10-01,1
vps1710,t3trainer.com,2016-10-01,1
vps1710,test.nahani.nl,2016-10-01,1
vps1710,test.plankhond.nl,2016-10-01,1
vps1710,theaterie.nl,2016-10-01,1
vps1710,tickets.vuurol.nl,2016-10-01,1
vps1710,tontek.demoet.com,2016-10-01,1
vps1710,tony.demoet.com,2016-10-01,1
vps1710,vanwesterop.nl,2016-10-01,1
vps1710,vasteplanten.net,2016-10-01,1
vps1710,vdab-talent.nl,2016-10-01,1
vps1710,vevastgoed.nl,2016-10-01,1
vps1710,vivante-yachts.nl,2016-10-01,1
vps1710,vuurol.nl,2016-10-01,1
vps1710,waxingthecity.nl,2016-10-01,1
vps1710,we-keepintouch.com,2016-10-01,1
vps1710,webwinkel.bloemheuvel.net,2016-10-01,1
vps1710,www2.yachtcharter-vanstraten.nl,2016-10-01,1
vps1710,yachtcharter-vanstraten.nl,2016-10-01,1
vps1710,yellofish.nl,2016-10-01,1
vps1710,zevenbergen.nl,2016-10-01,1
vps1710,zonennailcentrumannou.nl,2016-10-01,1
